2015-04-15 18:59:08 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [C:\xampp\htdocs\estesi\cake\libs\debugger.php, line 697]
2015-04-15 18:59:08 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [C:\xampp\htdocs\estesi\cake\libs\debugger.php, line 701]
2015-04-22 10:24:09 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:24:25 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:24:33 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:24:39 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:24:42 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:24:52 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:25:35 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:25:50 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:40:21 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:40:21 Debug: Notice (8): Undefined property: File::$useDbConfig in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\datasources\dbo_source.php, line 812]
2015-04-22 10:40:21 Debug: Notice (8): Undefined property: File::$useDbConfig in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\datasources\dbo_source.php, line 841]
2015-04-22 10:40:21 Debug: Notice (8): Undefined property: File::$useDbConfig in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\datasources\dbo_source.php, line 844]
2015-04-22 10:40:47 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:40:53 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:41:05 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:44:58 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:45:01 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:45:04 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-22 10:45:50 Debug: Notice (8): Undefined property: File::$table in [C:\xampp\htdocs\git\sof\senderos\cake\libs\model\model.php, line 666]
2015-04-27 22:39:06 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 61]
2015-04-27 22:48:29 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 61]
2015-04-27 22:51:26 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 61]
2015-04-27 22:54:43 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 61]
2015-04-27 22:57:41 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-27 22:59:35 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-27 23:09:30 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-27 23:10:46 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-27 23:25:12 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-27 23:28:58 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-27 23:30:13 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-27 23:45:20 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-29 03:14:56 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-29 04:30:36 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 98]
2015-04-29 04:32:56 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 98]
2015-04-29 04:33:50 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 98]
2015-04-29 04:33:59 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 98]
2015-04-29 04:40:30 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 99]
2015-04-29 04:41:49 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 99]
2015-04-29 04:43:52 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 99]
2015-04-29 04:45:03 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 99]
2015-04-29 04:46:41 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-29 04:48:11 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 99]
2015-04-29 04:57:23 Debug: Notice (8): Undefined index: type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 137]
2015-04-29 04:57:23 Debug: Notice (8): Undefined index: route in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 137]
2015-04-29 04:57:23 Debug: Notice (8): Undefined index: type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 139]
2015-04-29 04:57:23 Debug: Notice (8): Undefined index: route in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 139]
2015-04-29 04:59:11 Debug: Notice (8): Undefined variable: record in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 136]
2015-04-29 04:59:11 Debug: Notice (8): Undefined variable: record in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 136]
2015-04-29 05:05:40 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-29 05:07:47 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-29 15:09:09 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-29 15:18:14 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 99]
2015-04-29 15:26:45 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 101]
2015-04-29 15:28:46 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 101]
2015-04-29 15:30:46 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 101]
2015-04-29 15:32:28 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 101]
2015-04-29 15:37:39 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 101]
2015-04-29 15:38:31 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-04-29 15:39:22 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 101]
2015-04-29 15:43:15 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-04-29 15:44:35 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-04-29 15:49:46 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-04-29 15:51:27 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-04-29 15:52:25 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-04-29 15:54:53 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-04-29 15:56:56 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-04-29 15:57:25 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-04-29 15:58:13 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-04-29 17:13:35 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 21:37:32 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-05-06 22:34:15 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-05-06 22:34:45 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:35:04 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:35:46 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:37:11 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:37:33 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:39:41 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:44:49 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:47:26 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:48:26 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:50:04 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:57:10 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 22:59:12 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 100]
2015-05-06 23:03:43 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-05-06 23:05:05 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-05-06 23:06:17 Debug: Notice (8): Undefined index: Document.type in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 48]
2015-05-06 23:36:51 Debug: Notice (8): Undefined variable: tipo in [C:\xampp\htdocs\git\sof\senderos\app\controllers\documents_controller.php, line 120]
